Timestamp (ns);Aggregated CPU Load (%);GPU Busy (%);
3817138185596.000000;11.121865;14.519409;
3817201608828.000000;13.872144;12.987707;
3817265704060.000000;12.807913;14.731085;
3817328434300.000000;8.533876;15.897539;
3817391301500.000000;11.593302;14.044796;
3817452599164.000000;13.171776;14.303354;
3817514180732.000000;11.045923;14.373990;
3817576202108.000000;9.524050;14.336861;
3817637495676.000000;10.559627;14.397174;
3817699641980.000000;10.515600;14.622939;
3817761375612.000000;14.600939;17.180749;
3817823750780.000000;24.421481;17.719705;
3817886413180.000000;18.804390;17.974942;
3817948946812.000000;8.155741;18.777384;
3818010370428.000000;7.550083;17.835296;
3818074112380.000000;11.787736;17.252362;
3818136257660.000000;16.623199;17.865183;
3818198594684.000000;13.768278;18.520897;
3818261375100.000000;11.499685;17.628343;
3818322657148.000000;20.282677;16.001955;
3818386664060.000000;26.796906;17.743786;
3818449629564.000000;25.848904;19.355627;
3818512628604.000000;21.012067;17.405307;
3818575603580.000000;13.661719;16.554734;
3818638722428.000000;14.421990;18.024973;
3818702332540.000000;21.322835;19.092741;
3818765804668.000000;19.993632;17.790931;
3818829197436.000000;17.950855;16.979902;
3818891960188.000000;15.764404;17.547805;
3818954383484.000000;11.048748;18.079106;
3819015518076.000000;13.540283;17.566244;
3819078208892.000000;12.100777;16.579314;
3819139490172.000000;7.981088;18.045707;
3819202081660.000000;9.057392;19.096447;
3819263890044.000000;8.692438;17.746474;
3819327405180.000000;9.069802;16.409009;
3819389908092.000000;15.155139;17.790615;
3819452439164.000000;14.582734;19.124619;
3819514391420.000000;9.684559;17.362233;
3819576749948.000000;14.188502;16.395066;
3819639966332.000000;19.781314;18.374797;
3819702651772.000000;14.471560;19.345656;
3819765156988.000000;8.523357;16.639934;
3819826828668.000000;23.827570;18.698663;
3819888851324.000000;36.326133;19.938861;
3819951859580.000000;34.434584;17.737104;
3820014863484.000000;31.751849;17.213866;
3820078859388.000000;28.046213;16.622742;
3820141851516.000000;26.318443;18.564939;
3820203852412.000000;29.394452;16.727701;
3820266859388.000000;34.347045;16.727701;
3820329827708.000000;34.289832;8.900778;
3820392858748.000000;36.340207;12.581442;
3820455827324.000000;31.979495;18.798789;
3820516856700.000000;25.621497;17.266377;
3820579828604.000000;26.178051;17.661678;
3820642826876.000000;39.713591;18.237792;
3820704825980.000000;42.119908;17.571455;
3820766829180.000000;50.159722;16.762965;
3820829827452.000000;84.371250;17.837033;
3820891826556.000000;98.022511;18.405314;
3820954826364.000000;95.280493;17.481679;
3821016828540.000000;95.965958;17.769889;
3821096826236.000000;96.907738;23.540999;
3821128829052.000000;96.986246;28.449660;
3821222828412.000000;95.954597;27.887910;
3821286828412.000000;71.609949;27.573505;
3821318827900.000000;30.217850;23.526165;
3821381858428.000000;9.333788;21.619062;
3821443858300.000000;20.319676;19.479062;
3821505926524.000000;33.764778;17.232886;
3821582924924.000000;38.820899;20.886722;
3821646919804.000000;70.585831;20.863479;
3821710918780.000000;98.906651;18.863637;
3821773919612.000000;98.754484;18.876853;
3821837922684.000000;98.487379;19.269618;
3821901917564.000000;98.610286;19.619933;
3821948917116.000000;98.644943;24.181888;
3822039917180.000000;98.439520;25.045943;
3822070919548.000000;98.511997;21.344815;
3822165917820.000000;98.643684;21.211521;
3822211918204.000000;98.356568;21.253612;
3822288920188.000000;98.161444;21.220435;
3822351921020.000000;98.459250;19.279661;
3822383919484.000000;98.730811;20.948509;
3822474918780.000000;98.651627;23.801913;
3822538920572.000000;98.321669;21.299033;
3822585919356.000000;97.967735;20.365635;
3822664918652.000000;98.251349;22.702438;
3822741917820.000000;98.482196;22.713290;
3822805920124.000000;98.220735;20.588676;
3822837922428.000000;98.333471;20.150788;
3822930921084.000000;98.562549;22.124306;
3822962919036.000000;98.577062;22.883943;
3823039924092.000000;98.544660;20.713727;
3823101919612.000000;98.782656;21.651134;
3823164920188.000000;71.562371;22.759046;
3823225980028.000000;42.375850;21.641940;
3823289918588.000000;38.789563;20.468371;
3823352249980.000000;25.944567;22.395157;
3823413500028.000000;20.788289;23.049929;
3823476423292.000000;18.373803;20.025587;
3823538966396.000000;16.730864;22.684896;
3823601559164.000000;20.838397;23.564642;
3823664328572.000000;22.862916;20.042398;
3823727168380.000000;26.089801;20.654951;
3823789656188.000000;15.841545;22.931273;
3823851446140.000000;11.258707;22.405437;
3823914075260.000000;21.477176;21.220036;
3823977352060.000000;29.338831;20.675270;
3824040862844.000000;20.334354;20.869943;
3824103860604.000000;12.800273;21.716189;
3824164622204.000000;14.112373;21.662398;
3824228346492.000000;21.994264;21.189438;
3824290860668.000000;25.130816;22.608651;
3824354365052.000000;15.164727;22.558419;
3824417237884.000000;32.577603;20.676514;
3824479238524.000000;55.795542;20.411414;
3824540238972.000000;44.253922;22.270227;
3824602279804.000000;20.644387;22.810342;
3824663067260.000000;30.403619;20.699379;
3824727032188.000000;47.320607;20.424436;
3824788061820.000000;36.821259;23.214084;
3824850097788.000000;21.251033;22.814229;
3824913346940.000000;21.565499;19.226158;
3824977345404.000000;41.337905;19.718680;
3825039345020.000000;48.052939;22.229856;
3825102344316.000000;29.685819;21.612126;
3825166345340.000000;16.260998;19.778327;
3825230346108.000000;12.764097;18.783780;
3825293375100.000000;13.991771;19.345467;
3825355834492.000000;21.073081;21.570860;
3825417865852.000000;27.847675;21.072684;
3825480839292.000000;39.130686;18.245737;
3825543863676.000000;37.656428;20.167481;
3825605866108.000000;36.599183;21.871767;
